"","X.1","X","TV.Ad.Budget....","Radio.Ad.Budget....","Newspaper.Ad.Budget....","Sales....","totalbudget","totalbudget1"
"1",1,1,230.1,37.8,69.2,22.1,337.1,267.9
"2",2,2,44.5,39.3,45.1,10.4,128.9,83.8
"3",3,3,17.2,45.9,69.3,9.3,132.4,63.1
"4",4,4,151.5,41.3,58.5,18.5,251.3,192.8
"5",5,5,180.8,10.9,58.4,12.9,250.1,191.7
"6",6,6,8.7,48.9,75,7.2,132.6,57.6
"7",7,7,57.5,32.8,23.5,11.8,113.8,90.3
"8",8,8,120.2,19.6,11.6,13.2,151.4,139.8
"9",9,9,8.6,2.1,1,4.8,11.7,10.7
"10",10,10,199.8,2.6,21.2,10.6,223.6,202.4
"11",11,11,66.1,5.8,24.2,8.6,96.1,71.9
"12",12,12,214.7,24,4,17.4,242.7,238.7
"13",13,13,23.8,35.1,65.9,9.2,124.8,58.9
"14",14,14,97.5,7.6,7.2,9.7,112.3,105.1
"15",15,15,204.1,32.9,46,19,283,237
"16",16,16,195.4,47.7,52.9,22.4,296,243.1
"17",17,17,67.8,36.6,114,12.5,218.4,104.4
"18",18,18,281.4,39.6,55.8,24.4,376.8,321
"19",19,19,69.2,20.5,18.3,11.3,108,89.7
"20",20,20,147.3,23.9,19.1,14.6,190.3,171.2
"21",21,21,218.4,27.7,53.4,18,299.5,246.1
"22",22,22,237.4,5.1,23.5,12.5,266,242.5
"23",23,23,13.2,15.9,49.6,5.6,78.7,29.1
"24",24,24,228.3,16.9,26.2,15.5,271.4,245.2
"25",25,25,62.3,12.6,18.3,9.7,93.2,74.9
"26",26,26,262.9,3.5,19.5,12,285.9,266.4
"27",27,27,142.9,29.3,12.6,15,184.8,172.2
"28",28,28,240.1,16.7,22.9,15.9,279.7,256.8
"29",29,29,248.8,27.1,22.9,18.9,298.8,275.9
"30",30,30,70.6,16,40.8,10.5,127.4,86.6
"31",31,31,292.9,28.3,43.2,21.4,364.4,321.2
"32",32,32,112.9,17.4,38.6,11.9,168.9,130.3
"33",33,33,97.2,1.5,30,9.6,128.7,98.7
"34",34,34,265.6,20,0.3,17.4,285.9,285.6
"35",35,35,95.7,1.4,7.4,9.5,104.5,97.1
"36",36,36,290.7,4.1,8.5,12.8,303.3,294.8
"37",37,37,266.9,43.8,5,25.4,315.7,310.7
"38",38,38,74.7,49.4,45.7,14.7,169.8,124.1
"39",39,39,43.1,26.7,35.1,10.1,104.9,69.8
"40",40,40,228,37.7,32,21.5,297.7,265.7
"41",41,41,202.5,22.3,31.6,16.6,256.4,224.8
"42",42,42,177,33.4,38.7,17.1,249.1,210.4
"43",43,43,293.6,27.7,1.8,20.7,323.1,321.3
"44",44,44,206.9,8.4,26.4,12.9,241.7,215.3
"45",45,45,25.1,25.7,43.3,8.5,94.1,50.8
"46",46,46,175.1,22.5,31.5,14.9,229.1,197.6
"47",47,47,89.7,9.9,35.7,10.6,135.3,99.6
"48",48,48,239.9,41.5,18.5,23.2,299.9,281.4
"49",49,49,227.2,15.8,49.9,14.8,292.9,243
"50",50,50,66.9,11.7,36.8,9.7,115.4,78.6
"51",51,51,199.8,3.1,34.6,11.4,237.5,202.9
"52",52,52,100.4,9.6,3.6,10.7,113.6,110
"53",53,53,216.4,41.7,39.6,22.6,297.7,258.1
"54",54,54,182.6,46.2,58.7,21.2,287.5,228.8
"55",55,55,262.7,28.8,15.9,20.2,307.4,291.5
"56",56,56,198.9,49.4,60,23.7,308.3,248.3
